hurst,theta,z_score,macd_z,rsi,dist_vwap,adx,vol_z,volatility,atr,hour,pnl,target
0.4062112132772497,70.45951613645869,-2.1563755776428573,-1.0752775483177277,41.46759769692376,0.0019306715547665,0.0,-0.2173163441400466,0.1882400852298888,0.0833214285714275,9,-351.26861066173876,0
0.2897352567119886,92.73427435546124,-2.7133732719639836,-0.9812456656551656,47.6661622628335,0.0020743485019206,0.0,-0.342316886897746,0.1944374623435836,0.087614285714287,9,-272.4242965803156,0
0.2691095313576665,84.45932523493303,-3.1410354551766053,-0.9930168326406558,43.03091738469245,0.0020692080670709,0.0,-0.3658539485025787,0.1682744293586233,0.086900000000002,9,-247.04192206481036,0
0.2584800201433407,80.61048805954059,-2.713849275812627,-0.9746006499237612,41.54966198647989,0.0021757024435749,0.0,0.23101978376440682,0.1676398639454308,0.0840000000000011,9,-247.33453300116025,0
0.2622690787369821,74.73514052524189,-4.126813367399566,-1.0357484226160385,36.580061806111125,0.0015372094251034,0.0,1.8636807772091724,0.1712062863044916,0.0904285714285728,9,-391.2745079898343,0
0.2556585200100421,60.60578156920535,-2.62289098714845,-1.030842839123925,41.103202846975634,0.0018193607771036,0.0,-0.6956424414813337,0.1337886817904233,0.0961571428571436,9,-227.12015881055265,0
0.2532620796472991,62.974334351992105,-3.711988930289881,-1.0559230123586254,36.27968337730848,0.0015265706343263,0.0,0.9080782092593664,0.1235363476993149,0.0990428571428582,9,-343.93849862523217,0
0.2495414213117224,59.92139531040609,-4.552955960454764,-1.1450178927808887,33.33333333333333,0.0009533768435039,0.0,-0.3550240754135179,0.1255791266535932,0.1012142857142858,9,-275.7299131598266,0
0.2492431285128077,46.12997712171691,-2.827114213763101,-1.1530857476339995,41.05263157894696,0.0012830900259047,0.0,2.729764809467837,0.1241943848542055,0.1026357142857149,9,-277.82762871307585,0
0.2413125200294735,49.12626693081144,-2.9443445019432315,-1.1620330403686472,31.809613572103785,0.0011734598225856,0.0,-0.5945429929825979,0.1240568659246273,0.1062071428571463,9,-276.59843556752446,0
0.2333793598021132,45.01651363123446,-2.9132200552920136,-1.172840019796521,32.14285714285944,0.0010484676079693,0.0,0.14893152653375485,0.1224873506758191,0.1090642857142906,9,-273.75833006096076,0
